method,dataset,dataset_version,pretrained,train,epochs,car_AP@0.5,truck_AP@0.5,bus_AP@0.5,trailer_AP@0.5,construction_vehicle_AP@0.5,pedestrian_AP@0.5,motorcycle_AP@0.5,bicycle_AP@0.5,traffic_cone_AP@0.5,barrier_AP@0.5
second_multihead_nuscenes,NuScenesDataset,I,True,False,20,71.96,33.05,41.22,10.25,0.94,74.41,37.13,16.31,53.17,46.45
second_multihead_nuscenes,NuScenesDataset,"2,28",True,False,20,71.81,32.44,41.15,10.87,1.0,74.47,37.11,16.29,53.62,46.36
second_multihead_nuscenes,NuScenesDataset,"2,8,16,28",True,False,20,69.56,31.18,41.14,9.95,0.78,73.12,34.49,15.99,52.84,44.73
second_multihead_nuscenes,NuScenesDataset,"2,8,12,16,24,28",True,False,20,68.75,30.44,40.77,9.34,0.85,72.09,33.68,14.53,52.07,43.79
second_multihead_nuscenes,NuScenesDataset,"2,8,12,16,18,20,24,28",True,False,20,67.93,29.89,39.07,9.58,1.03,71.51,32.75,13.97,51.72,43.67
second_multihead_nuscenes,NuScenesDataset,"2,8,10,12,14,16,18,20,24,28",True,False,20,64.86,27.71,38.07,8.99,0.55,69.2,28.97,11.11,48.39,40.93
second_multihead_nuscenes,NuScenesDataset,"2,4,6,8,10,12,14,16,18,20,24,28",True,False,20,62.31,27.7,37.14,8.25,0.34,68.09,26.72,8.38,46.54,39.56
second_multihead_nuscenes,NuScenesDataset,"2,4,6,8,10,12,14,16,18,20,22,24,26,28",True,False,20,62.28,27.66,36.98,8.4,0.36,68.07,26.55,8.36,46.48,39.48
second_multihead_nuscenes,NuScenesDataset,"0,2,4,6,8,10,12,14,16,18,20,22,24,26,28,30",True,False,20,62.25,27.64,37.01,8.37,0.33,68.1,26.64,8.32,46.49,39.47
second_multihead_nuscenes,NuScenesDataset,"2,4,6,8,9,10,12,14,16,18,19,20,22,24,25,26,28,30",True,False,20,53.22,21.64,29.65,4.7,0.0,56.39,18.0,4.63,37.68,32.21
second_multihead_nuscenes,NuScenesDataset,"2,4,5,6,8,9,10,12,14,15,16,18,19,20,22,24,25,26,28,30",True,False,20,41.21,14.9,19.84,1.47,0.0,39.64,6.98,1.16,24.7,20.57
second_multihead_nuscenes,NuScenesDataset,"2,3,4,6,7,8,10,11,12,14,15,16,18,19,20,22,23,24,26,27,28,30",True,False,20,34.79,11.81,15.83,0.14,0.0,33.88,3.51,0.59,20.26,15.12
second_multihead_nuscenes,NuScenesDataset,"29,28",True,False,20,72.0,32.76,40.96,10.37,1.06,74.43,38.53,16.49,53.46,46.5
second_multihead_nuscenes,NuScenesDataset,"4,28",True,False,20,71.63,33.24,40.49,10.75,0.97,74.18,36.67,16.26,53.16,46.42
second_multihead_nuscenes,NuScenesDataset,"7,21",True,False,20,71.42,32.22,41.6,11.06,0.93,73.84,36.59,16.65,52.9,44.99
